Liber PrimusAdmonitiones ad Vitam spiritualem utiles.	THE FIRST BOOK ADMONITIONS PROFITABLE FOR THE SPIRITUAL LIFE
Cap. 12. De utilitate adversitatis.	CHAPTER XII Of the uses of adversity
1. Bonum nobis est, quod aliquando habeamus aliquas gravitates et contrarietates, quia sæpe hominem ad cor revocant, quatenus se in exilio esse cognoscat, nec spem suam in aliqua mundi re ponat. Bonum est quod patiamur quandoque contradictiones, et male et imperfecte de nobis sentiatur, etiamsi bene agimus, et intendimus. Ista sæpe juvant ad humilitatem, et a vana gloria nos defendunt. Tunc enim melius interiorem testem Deum quærimus, quando foris vilipendimur ab hominibus, et non bene de nobis creditur.	1. It is good for us that we sometimes have sorrows and adversities, for they often make a man lay to heart that he is only a stranger and sojourner, and may not put his trust in any worldly thing. It is good that we sometimes endure contradictions, and are hardly and unfairly judged, when we do and mean what is good. For these things help us to be humble, and shield us from vain-glory. For then we seek the more earnestly the witness of God, when men speak evil of us falsely, and give us no credit for good.
2. Ideo deberet se homo totaliter firmare, et non esset ei necesse multas consolationes quærere. Quando homo bonæ voluntatis tribulatur vel tentatur aut malis cogitationibus affligitur, tunc Deum magis sibi necessarium intelligit, sine quo nihil omnino se posse testatur. Gemit et orat pro miseriis quas patitur. Tunc tædet eum diutius vivere, mortem optat venire, utpossit dissolvi, et esse cum Christi.Tunc etiam bene advertit securitatem et plenam pacem in mundo non posse stare.	2. Therefore ought a man to rest wholly upon God, so that he needeth not seek much comfort at the hand of men. When a man who feareth God is afflicted or tried or oppressed with evil thoughts, then he seeth that God is the more necessary unto him, since without God he can do no good thing. Then he is heavy of heart, he groaneth, he crieth out for the very disquietness of his heart. Then he groweth weary of life, and would fain depart and be with Christ. By all this he is taught that in the world there can be no perfect security or fulness of peace.
Cap. 13. De resistendis tentationibus.	CHAPTER XIII Of resisting temptation
1. Quamdiu in mundo vivimus sine tribulatione et tentatione esse non possumus. Unde in Job scriptum est:Tentatio est vita hominis super terram.Ideo unusquisque sollicitus esse deberet circa tentationes suas, et vigilare in orationibus, ne Diabolus inveniret locum decipiendi, qui nunquam dormitat, sedcircuit quærens quem devoret.Nemo tam sanctus et perfectus est, qui non habeat aliquando tentationes, et plene eis carere non possimus.	1. So long as we live in the world, we cannot be without trouble and trial. Wherefore it is written in Job, The life of man upon the earth is a trial. And therefore ought each of us to give heed concerning trials and temptations, and watch unto prayer, lest the devil find occasion to deceive; for he never sleepeth, but goeth about seeking whom he may devour. No man is so perfect in holiness that he hath never temptations, nor can we ever be wholly free from them.
2. Sunt tamen tentationes hominibus valde utiles, licet molestæ sint et graves, quia in his homo humiliatur, purgatur et eruditur. Omnes Sancti per multas tribulationes et tentationes transierunt et profecerunt, et qui tentationes sustinere nequiverunt, reprobi facti sunt, et defecerunt. Non est aliquis ordo tam sanctus, et locus tam secretus, ubi non sint tentationes et adversitates.	2. Yet, notwithstanding, temptations turn greatly unto our profit, even though they be great and hard to bear; for through them we are humbled, purified, instructed. All Saints have passed through much tribulation and temptation, and have profited thereby. And they who endured not temptation became reprobate and fell away. There is no position so sacred, no place so secret, that it is without temptations and adversities.
3. Non est homo securus a tentationibus totaliter, quam diu vixerit, quia in nobis est unde tentamur. Ex quo in concupiscentia nati sumus, una tribulatione vel tentatione recedene alia supervenit, et semper aliquid ad patiendum habemus. Nam bonum felicitatis perdidimus. Multi quærunt tentationes fugere, et gravius incidunt in eas. Per solam fugam non possumus vincere, sed per patientiam et veram humilitatem, omnibus hositbus efficimur fortiores.	3. There is no man wholly free from temptations so long as he liveth, because we have the root of temptation within ourselves, in that we are born in concupiscence. One temptation or sorrow passeth, and another cometh; and always we shall have somewhat to suffer, for we have fallen from perfect happiness. Many who seek to fly from temptations fall yet more deeply into them. By flight alone we cannot overcome, but by endurance and true humility we are made stronger than all our enemies.
4. Qui tantummodo exterius declinat, nec radicem evellit, parum proficiet, imo citius ad eum tentationes redient, et pejus sævient. Paulatim, et per patientiam cum longanimitate Deo juvante melius superabis, quam cum duritia et importunitate propria. Sæpe accipe consilium in tentatione, et cum tentato noli duriter agere, sed consolationes ingere, sicut tibi optares fieri.	4. He who only resisteth outwardly and pulleth not up by the root, shall profit little; nay, rather temptations will return to him the more quickly, and will be the more terrible. Little by little, through patience and long-suffering, thou shalt conquer by the help of God, rather than by violence and thine own strength of will. In the midst of temptation often seek counsel; and deal not hardly with one who is tempted, but comfort and strengthen him as thou wouldest have done unto thyself.
5. Initium omnium malarum tentationum inconstantia animi est, et parva ad Deum confidentia, quia sicut navis sine gubernaculo hinc inde a fluctibus impellitur, ita homo remissus, et suum propositum deferens varie tentatur. Ignis probat ferrum, et tentatio hominem justum. Nescimus sæpe quid possumus, sed tentatio aperit quid sumus. Vigilandum tum præcipue circa initium tentationis, quia tunc facilius hostis vincitur, si ostium mentis nullatenus intrare finitur, sed extra limen statim ut pulsaverit illi obviatur. Unde quidam dixit,Principiis obsta, sero medicina paratur.Nam primo occurrit menti simplex cogitatio, deinde fortis imaginatio, postea delectatio, et motus pravus, et assensio, sicque paulatim hostis malignus ex toto ingreditur, dum illi non resistitur in pricipio. Et quanto diutius ad resistendum quis torpuerit, tanto in se quotidie debilior fit, et hostis contra eum potentior.	5. The beginning of all temptations to evil is instability of temper and want of trust in God; for even as a ship without a helm is tossed about by the waves, so is a man who is careless and infirm of purpose tempted, now on this side, now on that. As fire testeth iron, so doth temptation the upright man. Oftentimes we know not what strength we have; but temptation revealeth to us what we are. Nevertheless, we must watch, especially in the beginnings of temptation; for then is the foe the more easily mastered, when he is not suffered to enter within the mind, but is met outside the door as soon as he hath knocked. Wherefore one saith, Check the beginnings; once thou might’st have cured, But now ’tis past thy skill, too long hath it endured. For first cometh to the mind the simple suggestion, then the strong imagination, afterwards pleasure, evil affection, assent. And so little by little the enemy entereth in altogether, because he was not resisted at the beginning. And the longer a man delayeth his resistance, the weaker he groweth, and the stronger groweth the enemy against him.
6. Quidam in principio conversionis suæ graviores tentationes patiuntur, quidam in fine, quidam quasi per totam vitam suam male habent. Nonnulli fatis leviter tentantur, secundum divinæ ordinationis sapientiam et æquitatem, quæ statum, et hominum merita pensat, et cuncta ad electorum suorum salutem præordinat.	6. Some men suffer their most grievous temptations in the beginning of their conversion, some at the end. Some are sorely tried their whole life long. Some there are who are tempted but lightly, according to the wisdom and justice of the ordering of God, who knoweth the character and circumstances of men, and ordereth all things for the welfare of His elect.
